Name,Brand,Price,Image_url,Product_url
Snowboard,Lib Tech Travis Rice Pro HP C2 155 2020,"€ 489,-",https://images.blue-tomato.com/is/image/bluetomato/304039808_front.jpg-bFSfdJ7dJWWilar34gsB-slW1AI/Lib+Tech+Travis+Rice+Pro+HP+C2+155+2020+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+HP+C2+155+2020+Snowboard-582571/
Snowboard,Rome Ravine Select 158 2021,"€ 629,95",https://images.blue-tomato.com/is/image/bluetomato/304366076_front.jpg-ukVK9RSgDWaML3MQ-16BXIge8KM/Rome+Ravine+Select+158+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Rome-Ravine+Select+158+2021+Snowboard-626496/
Snowboard-Set,K2 Vandal Ltd 142 + Vandal M 2021,"€ 289,95",https://images.blue-tomato.com/is/image/bluetomato/304360258_front.jpg-uM8VcXDPUFANwm6v_oUJuMAKyE4/K2+Vandal+Ltd+142+Vandal+M+2021+Snowboard+Set.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/K2-Vandal+Ltd+142+Vandal+M+2021+Snowboard+Set-625205/
Snowboard,Public Dispute 153 2021,"€ 519,95",https://images.blue-tomato.com/is/image/bluetomato/304371405_front.jpg-Pso8ThdXxqEGG4hpzt1mqYLRen4/Public+Dispute+153+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Public-Dispute+153+2021+Snowboard-628188/
Snowboard-Set,Salomon Grail 110 + Goodtimes XS 2021,"€ 249,95",https://images.blue-tomato.com/is/image/bluetomato/304378642_front.jpg-dMjArXJllBJYr31Wb4pHOIDq-dI/Salomon+Grail+110+Goodtimes+XS+2021+Snowboard+Set.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Salomon-Grail+110+Goodtimes+XS+2021+Snowboard+Set-630798/
Snowboard,Capita Party Shark 161 2021,"€ 519,95",https://images.blue-tomato.com/is/image/bluetomato/304300231_front.jpg-Nx_-1rnD4nCkv3AV4WyjUnsJBHE/Capita+Party+Shark+161+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Party+Shark+161+2021+Snowboard-618512/
Snowboard,Jones Snowboards Frontier 159 2021,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304375143_front.jpg-AMCdRom7egS1kXNN0me54cV_Uqs/Jones+Snowboards+Frontier+159+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Frontier+159+2021+Snowboard-629202/
Snowboard,Roxy Xoxo 149 2021,"€ 429,95",https://images.blue-tomato.com/is/image/bluetomato/304373078_front.jpg-lg5ABp8fn9zS4WMl3dhGw5gGezw/Roxy+Xoxo+149+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Roxy-Xoxo+149+2021+Snowboard-628901/
Helm,Oakley Mod1,"€ 119,95",https://images.blue-tomato.com/is/image/bluetomato/304028795_front.jpg-pDJPM55OZgvW209qysJ37UTwrcA/Oakley+Mod1+Helm.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Oakley-Mod1+Helm-580285/
Snowboard,Ride Back Talk 142 2021,"€ 469,95",https://images.blue-tomato.com/is/image/bluetomato/304358626_front.jpg--U4RatoF6ohlqF83UOwpnShYwkQ/Ride+Back+Talk+142+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Ride-Back+Talk+142+2021+Snowboard-624698/
Snowboard,Lib Tech No43 146 2021,"€ 549,95",https://images.blue-tomato.com/is/image/bluetomato/304373058_front.jpg-3TZfV1sLRrgbZOSThBBeZ2Gps3s/Lib+Tech+No43+146+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-No43+146+2021+Snowboard-628881/
Splitboard,Jones Snowboards Solution 152 2021,"€ 899,95",https://images.blue-tomato.com/is/image/bluetomato/304375278_front.jpg-Seqep9AMOpNKHb6ZJ5Bv-ckb7RM/Jones+Snowboards+Solution+152+2021+Splitboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Solution+152+2021+Splitboard-629326/
Snowboardboots,Vans Juvie Linerless 2021,"€ 159,95",https://images.blue-tomato.com/is/image/bluetomato/304372285_front.jpg-lMbv3cfwiHQAqdLGqlIa986YMcY/Vans+Juvie+Linerless+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Vans-Juvie+Linerless+2021+Snowboardboots-628364/
Snowboardboots,Nitro Vagabond TLS 2021,"€ 179,95",https://images.blue-tomato.com/is/image/bluetomato/304321175_front.jpg-KRgqpU5qkAfgIxYwAWoSjm5LX-g/Nitro+Vagabond+TLS+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Nitro-Vagabond+TLS+2021+Snowboardboots-620662/
Goggle,Oakley Line Miner XL Matte Black,"€ 119,95",https://images.blue-tomato.com/is/image/bluetomato/304356186_front.jpg-isD-yIG7RMrKwux_t5MHS-Pf73s/Oakley+Line+Miner+XL+Matte+Black+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Oakley-Line+Miner+XL+Matte+Black+Goggle-624102/
Snowboard,Gnu Ladies Choice 139.5 2021,"€ 569,95",https://images.blue-tomato.com/is/image/bluetomato/304372846_front.jpg-gQzuTrsUp1q_e2fdtfr6NqRlnyk/Gnu+Ladies+Choice+139+5+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Gnu-Ladies+Choice+139+5+2021+Snowboard-628689/
Snowboard,Arbor Draft 153 2021,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304367728_front.jpg--ZfNIqLuCLceS7PS8LbCE2Q42jo/Arbor+Draft+153+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Arbor-Draft+153+2021+Snowboard-626988/
