Name,Brand,Price,Image_url,Product_url
Mid Grey Straight Leg Jeans,,,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/947649.jpg,
Yellow Regular Fit Short Sleeve Madras Check Shirt,,"[{'Date': 'February 2020', 'Price': '£25.00'}, {'Date': 'September 2020', 'Price': '£6.00 - £8.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/898961.jpg,
Burgundy Canvas Trainers,,"[{'Date': 'February 2020', 'Price': '£29.00'}, {'Date': 'September 2020', 'Price': '£11.50'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/284727.jpg,
Blue Slim Fit Stretch Poplin Shirt,,"[{'Date': 'February 2020', 'Price': '£25.00'}, {'Date': 'September 2020', 'Price': '£11.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/929096.jpg,
Navy Nova Fides Signature Hopsack Slim Fit Blazer,,"[{'Date': 'February 2020', 'Price': '£139.00'}, {'Date': 'September 2020', 'Price': '£30.00 - £45.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/162254.jpg,
adidas Originals Continental 80 Trainers,,"[{'Date': 'February 2020', 'Price': '£75.00'}, {'Date': 'September 2020', 'Price': '£30.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/388510.jpg,
Gingham Bomber Jacket,,,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/610843.jpg,
Navy Regular Fit Linen Blend Puppytooth Grandad Collar Short Sleeve Shirt,,"[{'Date': 'February 2020', 'Price': '£22.00'}, {'Date': 'June 2020', 'Price': '£7.50'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/145876.jpg,
adidas Originals Continental 80 Trainers,,"[{'Date': 'February 2020', 'Price': '£75.00'}, {'Date': 'September 2020', 'Price': '£32.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/386514.jpg,
Black Slim Fit Suit: Jacket,,"[{'Date': 'May 2020', 'Price': '£60.00'}, {'Date': 'June 2020', 'Price': '£30.00'}, {'Date': 'July 2020', 'Price': '£20.00'}, {'Date': 'August 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/863847.jpg,
Navy Check Trousers,,"[{'Date': 'February 2020', 'Price': '£32.00'}, {'Date': 'September 2020', 'Price': '£9.50'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/636215.jpg,
Blue Skinny Fit Skinny Fit Stripe Suit: Jacket,,"[{'Date': 'February 2020', 'Price': '£84.00'}, {'Date': 'September 2020', 'Price': '£21.00 - £32.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/146774.jpg,
Bright Blue Slim Fit Linen Blend Check Suit: Jacket,,"[{'Date': 'February 2020', 'Price': '£89.00'}, {'Date': 'September 2020', 'Price': '£22.00 - £35.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/409312.jpg,
Grey Super Skinny Fit Tartan Check Suit: Jacket,,"[{'Date': 'February 2020', 'Price': '£84.00'}, {'Date': 'September 2020', 'Price': '£16.00 - £25.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/127950.jpg,
Grey Slim Fit Puppytooth Suit: Jacket,,"[{'Date': 'January 2020', 'Price': '£84.00'}, {'Date': 'June 2020', 'Price': '£42.00'}, {'Date': 'July 2020', 'Price': '£28.00'}, {'Date': 'August 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/856939.jpg,
Grey Slim Fit Puppytooth Suit: Trousers,,"[{'Date': 'January 2020', 'Price': '£45.00'}, {'Date': 'June 2020', 'Price': '£22.00'}, {'Date': 'July 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/844482.jpg,
Blue Premium Laundered Cargo Shorts,,"[{'Date': 'February 2020', 'Price': '£30.00'}, {'Date': 'September 2020', 'Price': '£15.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/244912.jpg,
White Slim Fit Stretch Poplin Shirt,,"[{'Date': 'February 2020', 'Price': '£25.00'}, {'Date': 'September 2020', 'Price': '£8.00 - £11.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/328747.jpg,
Charcoal Signature Four Pocket Italian Moleskin Coat,,"[{'Date': 'October 2019', 'Price': '£100.00'}, {'Date': 'December 2019', 'Price': '£50.00'}, {'Date': 'March 2020', 'Price': '£25.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/596776.jpg,
Grey/Burgundy Tailored Fit Check Suit: Trousers,,"[{'Date': 'February 2020', 'Price': '£45.00'}, {'Date': 'September 2020', 'Price': '£13.50'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/383482.jpg,
Blue Slim Fit Check Suit: Jacket,,"[{'Date': 'February 2020', 'Price': '£84.00'}, {'Date': 'September 2020', 'Price': '£32.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/838679.jpg,
Double Collar Geo Print Short Sleeve Shirt,,"[{'Date': 'February 2020', 'Price': '£25.00'}, {'Date': 'September 2020', 'Price': '£8.00 - £12.50'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/255255.jpg,
Charcoal Nova Fides Check Epsom Coat,,"[{'Date': 'July 2019', 'Price': '£120.00'}, {'Date': 'March 2020', 'Price': '£36.00'}]",https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Sale/919280.jpg,
